"Name"	"Log_Galactocentric_Distance"	"Heliocentric_Distance"	"Metallicity"	"Reddening"	"Apparent_Distance_Modulus"	"Number_of_Populations_by_eye"	"UV_Color_Spread_of_RGB"	"Absolute_Vmagnitude"	"Apparent_Vmag"	"UB_color"	"BV_color"	"VR_color"	"VI_color"	"Ellipticity"	"Radial_Velocity"	"Radial_Velocity_Error"	"LSR_Radial_Velocity"	"Central_Sigma_V"	"Central_Sigma_V_Error"	"Central_Concentration"	"Core_Radius"	"Half_Light_Radius"	"Central_Surface_Brightness"	"Log_Luminosity_Density"	"Log_Core_Relaxtime"	"Log_HMR_Relaxtime"	"Age_from_compilation"	"Age_compilation_err"	"Age_Reference"	"RGB_median_color"	"Mean_Period_of_RRab"	"Number_of_RRab"	"Oosterhoff_Type"	"Galaxy_Population"	"Horizontal_Branch_Magnitude"	"Specific_RRLyrae_Frequency"	"Horizontal_Branch_Ratio"	"Horizontal_Branch_Type"	"FeH_Dotter2010"	"Alpha_Fe_Dotter"	"Age_Dotter2010"	"Age_err_Dotter2010"	"Integrated_Spectral_FeH"	"Age_Roediger2014"	"Age_err_Roediger2014"	"Fe_H_Roediger2014"	"Fe_H_Roediger2014_err"	"Mg_Fe"	"Mg_Fe_err"	"C_Fe"	"C_Fe_err"	"N_Fe"	"N_Fe_err"	"Ca_Fe"	"Ca_Fe_err"	"O_Fe"	"O_Fe_err"	"Na_Fe"	"Na_Fe_err"	"Si_Fe"	"Si_Fe_err"	"Cr_Fe"	"Cr_Fe_err"	"Ti_Fe"	"Ti_Fe_err"	"Longitude"	"Latitude"	"X"	"Y"	"Z"	"R.A."	"Dec"	"RA_hour"	"RA_mins"	"RA_secs"	"Dec_deg"	"Dec_mins"	"Dec_secs"
11	4833	0.84509804	6.6	-1.85	0.32	15.08	2	0.152307692	-8.17	6.91	0.29	0.93	0.63	1.33	0.07	200.2	1.2	192.9	99.999	99.999	1.25	1	2.41	18.48	3	8.78	9.42	12.5	0.5	VandenBerg2013	1.55	0.708	7	OoII	OH	15.6	7.6	0.93	2	-2.3	0.4	13	1.25	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	303.60401	-8.01536	3.6	-5.4	-0.9	194.89133	-70.8765	12	59	33.92	-70	52	35.4
12	5024	1.264817823	17.9	-2.1	0.02	16.32	2	0.118461538	-8.71	7.61	0.09	0.64	0.45	0.86	0.01	-62.9	0.3	-56.2	4.4	0.9	1.72	0.35	1.31	17.38	3.07	8.73	9.76	12.25	0.25	VandenBerg2013	0.941	0.649	29	OoII	OH	16.81	19.6	0.81	2	-2	0.2	13.25	0.5	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	332.96298	79.76419	2.8	-1.4	17.6	198.23021	18.16817	13	12	55.25	18	10	5.4
13	5053	1.250420002	17.4	-2.27	0.01	16.23	2	0.050769231	-6.76	9.47	0.03	0.65	99.999	0.9	0.21	44	0.4	50.9	1.4	0.2	0.74	2.08	2.61	22.03	0.54	9.81	9.87	12.25	0.38	VandenBerg2013	0.927	0.672	5	OoII	YH	16.69	18.4	0.52	3	-2.4	0.2	13.5	0.75	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	335.69872	78.94614	3	-1.4	17.1	199.11288	17.70025	13	16	27.09	17	42	0.9
14	5139	0.806179974	5.2	-1.53	0.12	13.94	99.999	0	-10.26	3.68	0.19	0.78	0.51	1.05	0.17	232.1	0.1	228.9	16.8	0.3	1.31	2.37	5	16.81	3.15	9.6	10.09	11	1.5	Various	1.2	0.651	76	OoII	C	14.51	12.3	99.999	2	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	309.10188	14.96824	3.1	-3.9	1.3	201.69683	-47.47958	99.999	99.999	99.999	99.999	99.999	99.999
15	5272	1.079181246	10.2	-1.5	0.01	15.07	2	0.186923077	-8.88	6.19	0.09	0.69	99.999	0.93	0.04	-147.6	0.2	-138.3	5.5	0.3	1.89	0.37	2.31	16.64	3.57	8.31	9.79	11.75	0.25	VandenBerg2013	0.943	0.555	145	OoI	YH	15.64	49	0.08	4	-1.6	0.2	12.5	0.5	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	42.21695	78.70685	1.5	1.3	10	205.54842	28.37728	13	42	11.62	28	22	38.2
16	5286	0.949390007	11.7	-1.69	0.24	16.08	2	0.118461538	-8.74	7.34	0.28	0.88	0.58	1.19	0.12	57.4	1.5	54.3	8.1	1	1.41	0.28	0.73	16.22	4.1	8.4	9.11	11.75	0.25	VandenBerg2013	1.4	99.999	99.999	99.999	99.999	16.63	4.7	0.8	1	-1.7	0	13	1	-1.51	12.5	0.5	-1.7	0.07	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	311.61418	10.5678	7.6	-8.6	2.1	206.61171	-51.37425	13	46	26.81	-51	22	27.3
17	5466	1.212187604	16	-1.98	0	16.02	1.5	0.050769231	-6.98	9.04	99.999	0.67	99.999	0.82	0.11	110.7	0.2	121.2	1.7	0.2	1.04	1.43	2.3	21.61	0.84	9.35	9.76	12.5	0.25	VandenBerg2013	0.929	0.646	13	OoII	YH	16.52	32.8	0.58	2	-2.1	0.2	13	0.75	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	42.15022	73.59225	3.3	3	15.3	211.36371	28.53444	14	5	27.29	28	32	4
18	5694	1.46834733	35	-1.98	0.09	18	0	0	-7.83	10.17	0.08	0.69	0.48	0.98	0.04	-140.3	0.8	-136.2	5.8	0.8	1.89	0.06	0.4	16.51	3.95	7.85	9.27	13.4	0	Forbes2010	1	99.999	99.999	99.999	99.999	18.5	0	1	1	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	331.0555	30.35985	26.4	-14.6	17.7	219.90121	-26.53894	14	39	36.52	-26	32	18
19	5897	0.86923172	12.5	-1.9	0.09	15.76	2	0.101538462	-7.23	8.53	0.08	0.74	0.5	1.04	0.08	101.5	1	108.4	99.999	99.999	0.86	1.4	2.06	20.53	1.53	9.33	9.57	12.3	0	Testa2001	1	99.999	99.999	99.999	99.999	16.27	17	0.86	2	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	342.94626	30.29395	10.3	-3.2	6.3	229.35208	-21.01028	15	17	24.4	-21	0	36.4
20	5904	0.792391689	7.5	-1.29	0.03	14.46	3	0.253846154	-8.81	5.65	0.17	0.72	0.45	0.95	0.14	53.2	0.4	64.3	5.5	0.4	1.73	0.44	1.77	16.09	3.88	8.28	9.41	11.5	0.25	VandenBerg2013	1	0.551	91	OoI	OH	15.07	37.7	0.31	3	-1.3	0.2	12.25	0.75	-1.26	10.6	0.4	-1.29	0.08	0.33	0.1	-0.48	0.26	0.68	0.59	0.28	0.11	0.15	0.27	0.19	0.26	0.31	0.1	-0.08	0.19	0.22	0.1	3.85872	46.79637	5.1	0.3	5.5	229.63842	2.08103	15	18	33.22	2	4	51.7
